Precinct,Candidate,Affiliation,Votes
024-001,WRITE-IN,NA,2
024-002,WRITE-IN,NA,0
024-003,WRITE-IN,NA,1
024-004,WRITE-IN,NA,2
024-005,WRITE-IN,NA,2
025-001,WRITE-IN,NA,3
025-002,WRITE-IN,NA,0
025-003,WRITE-IN,NA,0
025-004,WRITE-IN,NA,3
025-005,WRITE-IN,NA,0
025-006,WRITE-IN,NA,0
025-007,WRITE-IN,NA,0
025-008,WRITE-IN,NA,0
025-009,WRITE-IN,NA,1
025-010,WRITE-IN,NA,1
025-011,WRITE-IN,NA,1
025-012,WRITE-IN,NA,0
025-013,WRITE-IN,NA,0
025-014,WRITE-IN,NA,1
025-015,WRITE-IN,NA,0
025-016,WRITE-IN,NA,0
025-017,WRITE-IN,NA,0
026-001,WRITE-IN,NA,0
026-002,WRITE-IN,NA,1
026-003,WRITE-IN,NA,0
026-004,WRITE-IN,NA,0
026-005,WRITE-IN,NA,0
026-006,WRITE-IN,NA,0
026-007,WRITE-IN,NA,2
026-008,WRITE-IN,NA,0
026-009,WRITE-IN,NA,2
026-010,WRITE-IN,NA,2
026-011,WRITE-IN,NA,0
026-012,WRITE-IN,NA,0
026-013,WRITE-IN,NA,2
026-014,WRITE-IN,NA,0
026-015,WRITE-IN,NA,2
026-016,WRITE-IN,NA,0
026-017,WRITE-IN,NA,0
026-018,WRITE-IN,NA,0
026-019,WRITE-IN,NA,3
026-020,WRITE-IN,NA,0
026-021,WRITE-IN,NA,0
026-022,WRITE-IN,NA,0
026-023,WRITE-IN,NA,2
026-024,WRITE-IN,NA,1
026-025,WRITE-IN,NA,0
026-026,WRITE-IN,NA,1
026-027,WRITE-IN,NA,0
026-028,WRITE-IN,NA,0
026-029,WRITE-IN,NA,2
026-030,WRITE-IN,NA,1
026-031,WRITE-IN,NA,1
026-032,WRITE-IN,NA,0
026-033,WRITE-IN,NA,0
027-001,WRITE-IN,NA,4
027-002,WRITE-IN,NA,0
027-003,WRITE-IN,NA,1
027-004,WRITE-IN,NA,0
027-005,WRITE-IN,NA,2
027-006,WRITE-IN,NA,6
027-007,WRITE-IN,NA,2
027-008,WRITE-IN,NA,3
027-009,WRITE-IN,NA,0
027-010,WRITE-IN,NA,1
027-011,WRITE-IN,NA,0
027-012,WRITE-IN,NA,0
027-013,WRITE-IN,NA,2
027-014,WRITE-IN,NA,2
027-015,WRITE-IN,NA,2
027-016,WRITE-IN,NA,0
027-017,WRITE-IN,NA,5
027-018,WRITE-IN,NA,0
027-019,WRITE-IN,NA,2
027-020,WRITE-IN,NA,0
027-021,WRITE-IN,NA,2
027-022,WRITE-IN,NA,1
027-023,WRITE-IN,NA,0
027-024,WRITE-IN,NA,0
027-025,WRITE-IN,NA,0
027-026,WRITE-IN,NA,2
027-027,WRITE-IN,NA,0
027-028,WRITE-IN,NA,0
027-029,WRITE-IN,NA,3
027-030,WRITE-IN,NA,1
027-031,WRITE-IN,NA,7
027-032,WRITE-IN,NA,0
027-033,WRITE-IN,NA,2
027-034,WRITE-IN,NA,0
027-035,WRITE-IN,NA,0
027-036,WRITE-IN,NA,1
027-037,WRITE-IN,NA,0
027-038,WRITE-IN,NA,0
027-039,WRITE-IN,NA,0
027-040,WRITE-IN,NA,1
027-041,WRITE-IN,NA,1
027-042,WRITE-IN,NA,3
027-043,WRITE-IN,NA,0
027-044,WRITE-IN,NA,1
027-045,WRITE-IN,NA,1
027-046,WRITE-IN,NA,1
027-047,WRITE-IN,NA,0
027-048,WRITE-IN,NA,2
027-049,WRITE-IN,NA,1
027-050,WRITE-IN,NA,0
027-051,WRITE-IN,NA,0
027-052,WRITE-IN,NA,0
027-053,WRITE-IN,NA,0
027-054,WRITE-IN,NA,1
027-055,WRITE-IN,NA,0
027-056,WRITE-IN,NA,0
027-057,WRITE-IN,NA,0
027-058,WRITE-IN,NA,1
027-059,WRITE-IN,NA,1
027-060,WRITE-IN,NA,2
027-061,WRITE-IN,NA,1
027-062,WRITE-IN,NA,2
027-063,WRITE-IN,NA,1
027-064,WRITE-IN,NA,2
027-065,WRITE-IN,NA,4
027-066,WRITE-IN,NA,2
027-067,WRITE-IN,NA,0
027-069,WRITE-IN,NA,1
028-001,WRITE-IN,NA,1
028-002,WRITE-IN,NA,0
028-003,WRITE-IN,NA,0
028-004,WRITE-IN,NA,1
028-005,WRITE-IN,NA,0
028-006,WRITE-IN,NA,3
028-007,WRITE-IN,NA,0
028-008,WRITE-IN,NA,1
028-009,WRITE-IN,NA,1
028-010,WRITE-IN,NA,1
028-011,WRITE-IN,NA,2
028-012,WRITE-IN,NA,0
028-013,WRITE-IN,NA,3
028-014,WRITE-IN,NA,0
028-015,WRITE-IN,NA,1
